well_tag_number,date_added,identification_plate_number,well_identification_plate_attached,well_status_code,well_class_code,well_subclass,licenced_status_code,intended_water_use_code,observation_well_number,obs_well_status_code,water_supply_system_name,water_supply_system_well_name,street_address,city,legal_lot,legal_plan,legal_district_lot,legal_block,legal_section,legal_township,legal_range,land_district_code,legal_pid,well_location_description,latitude_Decdeg,longitude_Decdeg,utm_zone_code,utm_northing,utm_easting,coordinate_acquisition_code,construction_start_date,construction_end_date,alteration_start_date,alteration_end_date,decommission_start_date,decommission_end_date,driller_name,consultant_name,consultant_company,diameter_inches,total_depth_drilled_ft-bgl,finished_well_depth_ft-bgl,final_casing_stick_up_inches,bedrock_depth_ft-bgl,ground_elevation_ft-asl,ground_elevation_method_code,static_water_level_ft-btoc,well_yield_usgpm,well_yield_unit_code,artesian_flow_usgpm,artesian_pressure_psi,well_cap_type,well_disinfected_code,well_orientation_code,alternative_specs_submitted,surface_seal_material_code,surface_seal_method_code,surface_seal_depth_ft,backfill_type,backfill_depth_ft,liner_material_code,liner_diameter_inches,liner_thickness_inches,surface_seal_thickness_inches,liner_from_ft-bgl,liner_to_ft-bgl,screen_intake_method_code,screen_type_code,screen_material_code,other_screen_material,screen_information,screen_opening_code,screen_bottom_code,other_screen_bottom,filter_pack_from_ft,filter_pack_to_ft,filter_pack_material_code,filter_pack_thickness_inches,filter_pack_material_size_code,development_hours,development_notes,water_quality_colour,water_quality_odour,yield_estimation_method_code,yield_estimation_rate_usgpm,yield_estimation_duration_hours,static_level_before_test_ft-btoc,drawdown_ft-btoc,hydro_fracturing_performed,hydro_fracturing_yield_increase,decommission_reason,decommission_method_code,decommission_details,decommission_sealant_material,decommission_backfill_material,comments,ems,person_responsible,company_of_person_responsible,aquifer_id,avi_years,storativity,transmissivity_m^2/s,hydraulic_conductivity_m/s,specific_storage_1/m,specific_yield,testing_method,testing_duration_hours,analytic_solution_type,boundary_effect_code,aquifer_lithology_code,artesian_pressure_head_ft-agl,artesian_conditions,nr_district_name,nr_region_name,fullAddress,streetAddress,civicNumber,civicNumberSuffix,streetName,streetType,isStreetTypePrefix,streetDirection,isStreetDirectionPrefix,streetQualifier,localityName,distance_geocode,distance_to_matching_pid,score_address,score_location_description,score_city,xref_ind,alr_ind,btm_label,esa_landclass
124439,2021-12-03,52700,hose clamped to casing,NEW,MONITOR,PERMANENT,UNLICENSED,NA,NA,NA,NA,NA,5101 Highway 33 E,Kelwona,8.0,KAP 32677,NA,NA,NA,NA,NA,41.0,NA,approx 4 kms down Chlorination Road at bottom of draw on right side of road beside two other monitoring wells,49.85755,-119.30588,11,5525343,334264,H,2019-03-27,2019-04-16,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,181,181,24,NA,NA,NA,70.5,1.5,USGPM,NA,NA,aluminium,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,18,7 bags bentonite chips,1,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,top of K-packer at 176',CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,AIR_LIFT,1.5,9.5,70.5,NA,FALSE,NA,NA,NA,NA,NA,NA,low flow rate on well due to fine & silty sand & clay layers in formation.  Recommended pump set at 170' at 1.5 GPM max,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"4243 Hwy 33 E, Kelowna, BC",4243 33 Hwy E,4243,NA,33,Hwy,TRUE,E,FALSE,NA,Kelowna,400,NA,76,19,86,FALSE,NA,Range Lands,Bare/sparse vegetation
124440,2021-12-03,52741,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,6780 Farmers Drive,Kelowna,27.0,31650,NA,NA,NA,NA,NA,41.0,NA,approx. half way down driveway on right hand side of driveway,49.9773,-119.34925,11,5538752,331565,H,2019-04-02,2019-04-12,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,630,630,29,13,1259,GPS,158,0.5,USGPM,NA,NA,aluminium cap,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,18,"2 bags cement, 9 bags bentonite",18,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,AIR_LIFT,0.5,3.5,158,NA,FALSE,NA,NA,NA,NA,NA,NA,"intended water use: water supply system, private domestic;  recommended pump setting 600' at 0.5 GPM;  well is very solid top to bottom.  Finish bit size 5 7/8",NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"6780 Farmers Dr, Kelowna, BC",6780 Farmers Dr,6780,NA,Farmers,Dr,FALSE,NA,NA,NA,Kelowna,200,NA,100,31,100,FALSE,NA,Selectively Logged,Tree cover
124442,2021-12-05,52771,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,2501 Princeton Summerland Road,Princeton,11.0,KAP 27212,938.0,NA,NA,NA,NA,25.0,4854349,NA,49.64944,-120.34963,10,5503028,691311,H,2019-09-24,2019-09-27,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,76,76,30,NA,2978,GPS,19.5,25,USGPM,NA,NA,ALUMINIUM,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,18,7 bags bentonite chips,18,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,top of K-packer at 71',CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,AIR_LIFT,25,2,19.5,NA,FALSE,NA,NA,NA,NA,NA,NA,Intended water use: water supply system and private domestic;  recommended pump setting 60 to 60' at 25 GPM max;  rotating ring bit used due to large cobles and boulders in formation,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Cascades Natural Resource District,Thompson-Okanagan Natural Resource Region,"2501 Princeton-Summerland Rd, Princeton, BC",2501 Princeton-Summerland Rd,2501,NA,Princeton-Summerland,Rd,FALSE,NA,NA,NA,Princeton,200,0,100,0,100,FALSE,NA,Urban,Tree cover
124443,2021-12-05,52736,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,5366 Princeton Summerland Road,Princeton,NA,EPP 22609,5176.0,NA,NA,NA,NA,25.0,13269861,approx. 30ft off south rear corner of house;  title # CA7728595,49.71214,-120.05709,10,5510784,712151,H,2019-09-23,2019-09-23,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,38.5,38.5,30,NA,3298,GPS,10,50,USGPM,NA,NA,weld on,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,17,8 bags of bentonite chips,17,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,top of K-packer at 33.5ft,CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,AIR_LIFT,50,3.5,10,NA,FALSE,NA,NA,NA,NA,NA,NA,intended water use: water supply system and private domestic; recommended pump set at 25 to 30ft at 50 GPM.  Maximum flow rate of screen exposed is 55 GPM.  Do not pump above this amount,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"5366 Princeton-Summerland Rd, Summerland, BC",5366 Princeton-Summerland Rd,5366,NA,Princeton-Summerland,Rd,FALSE,NA,NA,NA,Summerland,200,0,100,31,21,FALSE,NA,Young Forest,Tree cover
124444,2021-12-05,52722,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,5474 Deadpine Drive,Kelowna,18.0,KAP 31650,NA,NA,18.0,24.0,NA,41.0,3627811,"right side of driveway just after turn in off of Deadpine, approx. 30ft in",49.96104,-119.34175,11,5536927,332046,H,2019-08-29,2019-09-10,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,500,480,36,2,2230,GPS,277,2,USGPM,NA,NA,aluminium,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,17,1 bag cement 4 bags bentonite,17,PVC,4,NA,2,7,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,water will probably be coloured on start up,MILKY,NA,AIR_LIFT,2,3,277,NA,FALSE,NA,NA,NA,NA,NA,NA,intended water use: water supply system & private domestic;  Lost 20ft of hole due to loose fractures in formation.  Water will probably be coloured on start up.  Recommended pump setting 460 to 470' at 2 GPM max,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"5474 Deadpine Dr, Kelowna, BC",5474 Deadpine Dr,5474,NA,Deadpine,Dr,FALSE,NA,NA,NA,Kelowna,200,0,100,46,100,FALSE,NA,Selectively Logged,Bare/sparse vegetation
124445,2021-12-05,52733,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,4241 Princeton Summerland Road,Princeton,6.0,32154,2084.0,NA,NA,NA,NA,25.0,2261821,end of driveway on right hand (North) side of house,49.71263,-120.19772,10,5510450,702013,H,2019-08-23,2019-08-27,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,200,200,30,17,3679,GPS,17.5,5,USGPM,NA,NA,weld on,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,17,6 bags bentonite chips,17,PVC,4,NA,2,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"slight,  iron 4",AIR_LIFT,5,2,17.5,NA,FALSE,NA,NA,NA,NA,NA,NA,intended water use: water supply system and private domestic; recommended pump setting 180' at 5 GPM max,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Cascades Natural Resource District,Thompson-Okanagan Natural Resource Region,"4241 Princeton-Summerland Rd, Bankeir, BC",4241 Princeton-Summerland Rd,4241,NA,Princeton-Summerland,Rd,FALSE,NA,NA,NA,Bankeir,200,0,100,33,25,FALSE,NA,Recreation Activities,Tree cover
124446,2021-12-05,52763,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,2768 Princeton Summerland Road,Princeton,17.0,27529,2140.0,NA,NA,NA,NA,25.0,4800923,at end of driveway on right 30ft right at shop footings,49.66225,-120.33802,10,5504482,692098,H,2019-08-09,2019-08-21,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,136.5,136.5,60,NA,3052,GPS,81.5,25,USGPM,NA,NA,weld on,NA,VERTICAL,FALSE,BNTITE_CLY,NA,18,11 bags bentonite chips,18,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,top of K-packer at 132',CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,AIR_LIFT,25,3,81.5,NA,FALSE,NA,NA,NA,NA,NA,NA,intended water use:  water supply system and private domestic;  recommended pump setting 125' at 25 GPM max,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Cascades Natural Resource District,Thompson-Okanagan Natural Resource Region,"2768 Princeton-Summerland Rd, Princeton, BC",2768 Princeton-Summerland Rd,2768,NA,Princeton-Summerland,Rd,FALSE,NA,NA,NA,Princeton,200,0,100,31,100,FALSE,NA,Agriculture,Tree cover
124447,2021-12-05,52785,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,3912 Princeton Summerland Road,Bankeir,2.0,22209,2087.0,NA,NA,NA,NA,25.0,7030983,"approx. half way up driveway on right hand side of first landing, approx 45' off main driveway",49.71446,-120.23125,10,5510564,699588,H,2019-07-31,2019-08-06,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,360,360,24,95,3468,GPS,157,2.5,USGPM,NA,NA,aluminium,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,19,8 bags bentonite chips,19,PVC,4,NA,2,15,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AIR_LIFT,2.5,2,157,NA,FALSE,NA,NA,NA,NA,NA,NA,intended water use: water supply system and private domestic;  recommended pump setting 340' at 2.5 GPM; finish bit size 5 15/16,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Cascades Natural Resource District,Thompson-Okanagan Natural Resource Region,"3912 Princeton-Summerland Rd, Bankeir, BC",3912 Princeton-Summerland Rd,3912,NA,Princeton-Summerland,Rd,FALSE,NA,NA,NA,Bankeir,200,0,100,30,100,FALSE,NA,Young Forest,Tree cover
124448,2021-12-05,52712,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,175 Truro Street,Tulameen,1.0,NA,128.0,NA,NA,NA,NA,59.0,12913570,front left side of lot,49.54693,-120.76227,10,5490664,661867,H,2019-07-25,2019-07-26,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,39,39,36,NA,2523,GPS,15.5,16,NA,NA,NA,weld on cap,NA,VERTICAL,FALSE,BNTITE_CLY,NA,17,1 pail of pellets and 4 bags bentonite chips,17,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,top of K-packer at 34.5',CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,AIR_LIFT,NA,1.5,15.5,NA,FALSE,NA,NA,NA,NA,NA,NA,intended water use: water supply system and private domestic; recommended pump setting 30' at 16 GPM max;,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Cascades Natural Resource District,Thompson-Okanagan Natural Resource Region,"175 Truro St, Tulameen, BC",175 Truro St,175,NA,Truro,St,FALSE,NA,NA,NA,Tulameen,200,0,100,30,100,FALSE,NA,Urban,Bare/sparse vegetation
124449,2021-12-05,52777,hose camped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,2653 Otter Avenue,Tulameen,7.0,NA,128.0,NA,NA,NA,NA,59.0,12914819,"approx. centre at front of lot next Otter Avenue; coordinates UTM10 662040E 5490936N place the well on next lot, lot 8 (?), moved it slightly to lot 7",49.54926,-120.75973,10,5490929,662043,H,2019-07-22,2019-07-23,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,38,38,42,NA,2505,GPS,11.5,25,USGPM,NA,NA,weld on cap,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,NA,17,"one pail pellets, 4 bags bentonite chips",17,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,"top of K-packer at 33ft, 3ft of screen exposed",CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,AIR_LIFT,25,1.5,11.5,NA,FALSE,NA,NA,NA,NA,NA,NA,intended water use: private domestic and water supply system;  recommended pump setting 30' at 25 GPM max,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Cascades Natural Resource District,Thompson-Okanagan Natural Resource Region,"2653 Otter Ave, Tulameen, BC",2653 Otter Ave,2653,NA,Otter,Ave,FALSE,NA,NA,NA,Tulameen,200,0,100,32,100,FALSE,NA,Urban,Tree cover
